review,rating,app_name
The app is good and the interface is clean and simple,4,Temu
The app is good and the interface is clean and simple,3,Temu
I really love this app because it is easy to use and very fast,5,Temu
It is just okay and I think it needs more features,1,Temu
The app is good but it has some issues and it can be better,2,Temu
The app is good and the interface is clean and simple,3,Temu
The app is good but it has some issues and it can be better,4,Temu
It is a very bad app and I do not like it at all,5,Temu
This app is not working and I am very disappointed with it,1,Temu
I really love this app because it is easy to use and very fast,2,Temu
I think this app is very good and I like it a lot,1,Temu
I think this app is very good and I like it a lot,3,Temu
It is just okay and I think it needs more features,1,Temu
I have used this app and it is very helpful for me,1,Temu
The app is good and the interface is clean and simple,3,Temu
I have used this app and it is very helpful for me,5,Temu
This is not the best but it is okay and I will use it,3,Temu
I really love this app because it is easy to use and very fast,4,Temu
The app is good and the interface is clean and simple,2,Temu
This app is not working and I am very disappointed with it,2,Temu
This app is not working and I am very disappointed with it,1,Temu
This app is not working and I am very disappointed with it,3,Temu
I really love this app because it is easy to use and very fast,3,Temu
This app is not working and I am very disappointed with it,5,Temu
It is a very bad app and I do not like it at all,5,Temu
I think this app is very good and I like it a lot,5,Temu
I use it every day and it is very useful for my tasks,3,Temu
It is just okay and I think it needs more features,5,Temu
I have used this app and it is very helpful for me,2,Temu
I really love this app because it is easy to use and very fast,2,Temu
I think this app is very good and I like it a lot,3,Temu
I really love this app because it is easy to use and very fast,4,Temu
This is not the best but it is okay and I will use it,1,Temu
This app is not working and I am very disappointed with it,3,Temu
It is a very bad app and I do not like it at all,1,Temu
The app is good and the interface is clean and simple,2,Temu
The app is good but it has some issues and it can be better,1,Temu
It is a very bad app and I do not like it at all,1,Temu
I use it every day and it is very useful for my tasks,3,Temu
The app is good but it has some issues and it can be better,1,Temu
I really love this app because it is easy to use and very fast,1,Temu
This is not the best but it is okay and I will use it,1,Temu
I use it every day and it is very useful for my tasks,1,Temu
I think this app is very good and I like it a lot,5,Temu
It is a very bad app and I do not like it at all,5,Temu
The app is good but it has some issues and it can be better,1,Temu
I think this app is very good and I like it a lot,3,Temu
I think this app is very good and I like it a lot,3,Temu
It is just okay and I think it needs more features,3,Temu
This is not the best but it is okay and I will use it,1,Temu
The app is good but it has some issues and it can be better,2,Temu
I use it every day and it is very useful for my tasks,4,Temu
It is just okay and I think it needs more features,1,Temu
It is just okay and I think it needs more features,5,Temu
The app is good but it has some issues and it can be better,4,Temu
I really love this app because it is easy to use and very fast,4,Temu
I really love this app because it is easy to use and very fast,1,Temu
I have used this app and it is very helpful for me,4,Temu
It is a very bad app and I do not like it at all,4,Temu
This is not the best but it is okay and I will use it,5,Temu
It is a very bad app and I do not like it at all,5,Temu
The app is good and the interface is clean and simple,4,Temu
The app is good but it has some issues and it can be better,1,Temu
I have used this app and it is very helpful for me,5,Temu
It is just okay and I think it needs more features,1,Temu
This app is not working and I am very disappointed with it,2,Temu
This is not the best but it is okay and I will use it,5,Temu
I really love this app because it is easy to use and very fast,3,Temu
I think this app is very good and I like it a lot,3,Temu
The app is good but it has some issues and it can be better,5,Temu
The app is good but it has some issues and it can be better,2,Temu
This app is not working and I am very disappointed with it,2,Temu
The app is good but it has some issues and it can be better,4,Temu
I have used this app and it is very helpful for me,3,Temu
This app is not working and I am very disappointed with it,1,Temu
This app is not working and I am very disappointed with it,4,Temu
I use it every day and it is very useful for my tasks,3,Temu
It is a very bad app and I do not like it at all,3,Temu
I really love this app because it is easy to use and very fast,2,Temu
I really love this app because it is easy to use and very fast,2,Temu
It is a very bad app and I do not like it at all,1,Temu
I really love this app because it is easy to use and very fast,1,Temu
The app is good and the interface is clean and simple,1,Temu
This app is not working and I am very disappointed with it,1,Temu
The app is good and the interface is clean and simple,5,Temu
I really love this app because it is easy to use and very fast,3,Temu
This app is not working and I am very disappointed with it,4,Temu
I have used this app and it is very helpful for me,4,Temu
It is just okay and I think it needs more features,1,Temu
It is just okay and I think it needs more features,5,Temu
I use it every day and it is very useful for my tasks,2,Temu
The app is good but it has some issues and it can be better,2,Temu
It is just okay and I think it needs more features,3,Temu
The app is good and the interface is clean and simple,1,Temu
The app is good and the interface is clean and simple,3,Temu
I use it every day and it is very useful for my tasks,5,Temu
This app is not working and I am very disappointed with it,2,Temu
I think this app is very good and I like it a lot,2,Temu
It is a very bad app and I do not like it at all,1,Temu
I use it every day and it is very useful for my tasks,4,Temu
This is not the best but it is okay and I will use it,1,Temu
I have used this app and it is very helpful for me,1,Temu
It is just okay and I think it needs more features,4,Temu
