review,rating,app_name
excellent,5,Temu
ok,5,Temu
nice app its my first i have download App its a best app ever that's why I am using these app.,5,Temu
Unsubscribe Unsubscribe,1,Temu
I'm new here and just figuring it out.,5,Temu
I love this app,5,Temu
Thank you,5,Temu
it keeps disturbing,1,Temu
"Very bad I made a small purchase to try it out, and after more than a month I haven't received anything. The customer service tells me to use the money or extend the delivery period. This is the worst online store; I don't recommend it.",1,Temu
worse,1,Temu
so many options and great prices,5,Temu
I love this app.,5,Temu
very good,5,Temu
worst app available! dont waste your time! if you want just 1 item dont bother looking on this app because it will make you buy a minimum of 10!,1,Temu
the app is impressive💯,4,Temu
"Don't Use this Alibaba app This App has cheated me out of millions of dollars by not sending me the vehicle I bought.... . (if there's one app in the world that's the worst, it's Alibaba app ).",1,Temu
I don't want the app.,1,Temu
bahut mast app,5,Temu
boring,1,Temu
excellent 👍,5,Temu
expensive,3,Temu
fast delivery when ordered,5,Temu
app performance good but 🚫 services Pakistan,1,Temu
safe,4,Temu
excellent,5,Temu
very good,5,Temu
good project Ali baba,5,Temu
"I love this app , because it make shop like billionaire",5,Temu
nice app,5,Temu
SamoL basar,4,Temu
not that we trust but I love it,5,Temu
nice ap,5,Temu
rác vật app,1,Temu
bad,1,Temu
"They typically show you a car which is priced at a small percentage of the price. This is just to attract you.When you visit the site, you find out that they were givthe price of JUST ONE OF THE TYRES of the Car.",1,Temu
best prices,5,Temu
Great app!,5,Temu
good,5,Temu
if there was an option to give no stars I would have taken it. ad showing an xtra muse blogging camera so I downloaded the app. when I clicked on the link for the product..guess what? they don't sell it! so false information and quite possibly fraud. so I will now delete it.,1,Temu
quite fast and reliable,5,Temu
لتواصل معكم صعب ولا وضوح أو رد على المحادثات خاصة بما يتعلق بالاسعار والشحن هناك عدد عملية وقوية ارغب بشراء بعضها وأرسل طلب واستفسر عن الأسعار واصلة للاردن،،،لا جواب هل هناك لكم موزع أو وكيل معتمد في. الاردن يمكن التواصل معه لطفا,5,Temu
So far so good,5,Temu
very bad,1,Temu
how to update and issue my Card number?,5,Temu
very good,5,Temu
adds stupid,1,Temu
fantastic,5,Temu
💯💯💯💯💯perfection,5,Temu
very good,5,Temu
nice platform for multiple products sourcing,5,Temu
cheap,5,Temu
that is very safe app for any delivery if anything broken damaged refund easily and all product available and low price,5,Temu
This app is very annoying. Their services are really disgusting. After paying for my orders I can't login 😕,4,Temu
good,4,Temu
love it,5,Temu
it super,5,Temu
excellent,5,Temu
wery good,5,Temu
Just waiting for my new OLED tv to arrive. Can't 🫸🫷.,5,Temu
"you have to order maximum amounts. I think this is wholesale too bad, cause I like a lot of their stuff.",2,Temu
Good 👍😊,5,Temu
this is a scam site they allow vendors to urge you to pay off site and them you dojt product or money watch out scammer app,2,Temu
