review,rating,app_name
Works very well. Some of the descriptions are difficult to understand.,5,Temu
"still want to try on this 99 free giveaways and shipping. Thanks, will rate you guys. 5 of 5.",3,Temu
"I've ordered from Temu many years now, 6 different States. At least 20 different Addresses, very dependable. Never disappointed, I really do recommend Temu to all my family and friends ❤️",5,Temu
Great Buy's for all Sizes 4 Women.,5,Temu
Some advertising is misleading and there is not enough explanation..,2,Temu
Deceptive. Please remove from my marketplace options.,1,Temu
definitely good prices.,5,Temu
"Fir the most part, quality items at a affordable price.",5,Temu
no Kohinoor,5,Temu
"Early arrival of purchase items, no additional fees, no fakes and switches of items ordered quality products and especially affordable prices offered mabuhay",5,Temu
it's annoying but works,3,Temu
annoying go away,1,Temu
I love everything that I have bought so far. And it was exactly like the post said. I will continue to buy from TEMU. I'm very happy that I found this web page.,5,Temu
"I love the product. It's the best manufactured best made, and you can get really good deals.All the time I give this an absolutely a hundred percent temu all the way",5,Temu
order finally went thru,5,Temu
temu is my friendly buy 💯,5,Temu
you guys have cool stuff all the time .thank you.,5,Temu
"mm,the e",5,Temu
thank you . you helped me feed and get Max dog food and new toys. God bless you all,5,Temu
temu shopping apps easy to purchase,5,Temu
used a fake rewards to convince me downloading the app.,1,Temu
can I get paid from here,5,Temu
best thing that could have happened to me,5,Temu
VERY GOOD,1,Temu
everything that I have ordered from Temu so far has been perfect,5,Temu
excellent value for money,5,Temu
Good👍,5,Temu
excellent!,5,Temu
you wiñ Coupons for $800 yet you never received a cent temu just wanted your money that's bad business,1,Temu
"I did establish an account, but I never followed through with a purchase. I understand they were mining personal information and may owe me money from a lawsuit",1,Temu
lies,1,Temu
Delivered my purchase without any issues.,5,Temu
Generally the best to deal with,5,Temu
love temu,5,Temu
first perfect 22w long enough doesn't stick to my huge calf! 👌 .🤣🤣,5,Temu
love it!!!!!!!!,5,Temu
"Temu has good customer service 👍 very helpful and responsive. Overall, a smooth experience. Will definitely order again ☺️",5,Temu
delivering is longer it use to take maximum 2 weeks but now it's been a month and still waiting,3,Temu
3 subscribers three 33 💔,5,Temu
"I had a very disappointing experience with Temu. They promoted a “credit start play” offer that encouraged me to spend more to unlock a reward. I ended up spending double the promised credit, but never received anything. This feels misleading and designed to push unnecessary purchases. It was a waste of time and money, and I wouldn’t recommend trusting these promotions.",1,Temu
I have ordered twice the first time I ordered a high intensity flashlight and got a woman's shaw I never got a refund or the flashlight so I gave them another chance and ordered a leg holster after a month still no holster I am NONE!!,1,Temu
"It's okay, cheap, Small items, good for wholesale",3,Temu
"temu is actually fun. Getting the product is always exciting. Sometimes it's nothing what you was expectig, sometimes, beyound what you was thinking. kinda like adault ""pick a duck"",",5,Temu
"Good and trusted, my goods are always delivered.",4,Temu
"good and cheap, affordable thanks",5,Temu
"Hit or miss. Some stuff is great at a great price. Other stuff is very cheaply made or super small compared to pics. You can return and refund so as long as you have time, its worth the trial and error!",4,Temu
Great purchases no complaints about goods,5,Temu
It's as if gambling addicts and shopaholics have a new place of despair. As soon as my things come in I'm deleting the app and never coming back again. I'm an addictions therapist and this is the worst I've ever felt about myself. 😞,2,Temu
i love everything about temu excellent service quality stuff,5,Temu
absolutely fabulous app every item is as pictured,5,Temu
لسا مطلبتِش بس كانت فكرة تحفةةة إنه ييجي مصر بجد فيه حاجات كتيرة أوي مكُنتش بلاقيها أونلاين و الأسعار تحفة,5,Temu
with their tactics of driving you crazy with stupid promotions that you never get after I get my packages I think I'm done with this. I don't need therapy from temu,1,Temu
"loved it, holds wallet,keys,cellphone,hand lotion,hand sanitizer,lip balm,etc. very comfortably.",5,Temu
ok,3,Temu
love shopping with temu and playing the games as well to win free things. I really only shop when something can get for free low on funds. but always read everything before buying,5,Temu
I love this app I've been on temu 24/7 well not rlly but it's a nice app,5,Temu
"I love temu , everything I've ordered has been exactly what it describes it as , thanks so much for your time everyone there",5,Temu
"app works well, all the different promotions can be a bit overwhelming",5,Temu
Temu is better than the best.,5,Temu
just love it.,5,Temu
"I've been quite impressed, with the quality of the products i've purchased, and the service has been exceptional. Thank you.",5,Temu
great prices,5,Temu
quality,5,Temu
"Temu is very aggressive in advertising and super GIMMICKY in marketing . When I DLed the app. notifications flooded in. Once in , the viewing / selecting items with vague descriptions or just misleading language didn't create much confidence. In fact l, I feel lied to. I did get caught up in putting items in my cart. But I was unsettled with everything. So, ultimately I deleted all items. Like I will be doing with their app. Doubt Temu will change anything.",1,Temu
good stuff!?!?,5,Temu
"some things aren't what they advertise and some are,so do ur research before ordering so ur not disappointed",3,Temu
temu delivered my order in a timely manner,5,Temu
Temu is transparent in business,5,Temu
good,3,Temu
Love it!,5,Temu
nicely,5,Temu
love it,5,Temu
no issues,5,Temu
Keep up the good work. You're amazing!!!!,4,Temu
good,5,Temu
it's ok so far,3,Temu
A good platform as far better at resolving returns than Ali Express where you have to deal with a speaking clock standard of customer service.,5,Temu
greatest place on the Internet to save money on great deals it's literally the Harbor Freight of Amazon and it's easy and reliable. I recommend it for everyone who knows how to shop.,5,Temu
love temu and the opportunity to get a bargain,4,Temu
love temu most products are exactly as described. most things arrive early and if not they are quick to find out what is going on and issue a credit. Love this sight,5,Temu
Shop like a millionaire,5,Temu
why can't I uninstall this app,1,Temu
اسوأ تطبيق مفيش مصداقية,1,Temu
the app is good but i don't like the fact that they have to choose the amount I spend I'll rather have the original price than the discount,2,Temu
fantastic,5,Temu
this is the best online oversee shore im more than happy with their items and service,5,Temu
the price is beyond reasonable for most of the items I ordered. The tracking and updates were very informative and helpful.,4,Temu
If you plan to be a consumer already then all these get $1000 plus of free stuff is somewhat legit but if you weren't planning on spending then it's a scam and everyone gets it so you didn't win anything.,1,Temu
"It's legit, I love Temu",5,Temu
till now everything is alright,5,Temu
I don't know what to play with me but I'm going back to the time to play games with my friends,5,Temu
got 210 dollars and got booster box free,5,Temu
100% satisfaction,5,Temu
always say I get free stuff or penny deals..NEVER gotten anything..ready to go to ali express,1,Temu
"TEMU is all about quality stuff at an affordable price. Whenever you are Not happy with your purchase, you just say the reason and the outcome will leave you satisfied. Thank you Temu, you are the Best👌👌",5,Temu
I am very happy with Temu shopping experience and varieties,5,Temu
worst thing ever when it says you get free $10 you don't scam one twmu get a beter job,1,Temu
fake garbage app,1,Temu
"temu is great to order from, packages always arrive. never a problem with them, would recommend to everyone",5,Temu
Good,5,Temu
👍,5,Temu
I love temu,5,Temu
cheep,3,Temu
extremely good 👍,4,Temu
great deals on most of the stuff they have,4,Temu
Absolute BS!!! Said you get free items when you order. Placed order and free items dissappear. STAY AWAY,1,Temu
awesome,5,Temu
"I wish the free coupons worked. I order things then I get an email I have gifts that are free ,I expect to just pay for shipping but I have to pay for the item as well. that's not a gift if im paying for it. I have had 8 emails saying I won gifts for having a big order and I wasn't able to get anything.",3,Temu
I'm uy,4,Temu
trying to remove the TEMU app on Google 1. can't do it don't trust the website.,1,Temu
"informative, gospel oriented!",4,Temu
بعد ما تطلب بتتفاجئ بضعف الثمن شحن,1,Temu
It's a Scam!,1,Temu
fake promotion!,1,Temu
"I've never had time to actually browse anything because of the screen veing constantly hijacked by ""rewards"" spam, in app or out. Like, I see an item I like in an ad, click it, and can't even get to the thing for all the vape shop gambling area looking spam",1,Temu
it's not honest because they say you must pay maybe r350 to claim your gifts but it's a r100 clothes,1,Temu
very good 👍,5,Temu
very pushy and makes you spend more then the deals they are trying to give you,2,Temu
"we know you exist, stop advertising!",2,Temu
yea they got my order wrong again it has happened many times now I'm gonna delete it.,2,Temu
best app ever,5,Temu
I like most of their items,5,Temu
Excellent cue for the price,5,Temu
I started with Spanish now it's gone to Hebrew and I can't delete the hebrew,1,Temu
✅✅🔥,5,Temu
absolutely terrible it offered me free stuff as long as I paid them 50$,1,Temu
this product is made for a couple under 400#,5,Temu
Lm eww,3,Temu
good products,5,Temu
Your things are cheaper quality and strong,5,Temu
it ok,5,Temu
Awesome 👍😎,5,Temu
Awesome,5,Temu
Temu is real and it is so comfortable shopping there. You just have to read the product description well and also read the reviews.,5,Temu
"like that they can be used for a variety of things, multipurpose ✅️💯",5,Temu
i love this app easy to use payment made easy and keep me busy for hours so many to choose from and prices to die for,5,Temu
good but moved country,5,Temu
Worth the money worth the weight,5,Temu
love it!!,5,Temu
Very impressed,5,Temu
fantastic I've been missing out for years among other things wow bargain price,5,Temu
Experience with Temu very 👍 good I would recommend 👌 Temu.Thank you,5,Temu
greate,3,Temu
Temu Shop Like A Billionaire,5,Temu
I love their stuff.,5,Temu
great sight have a lot of products that are nice you can buy that are decent some things you get from here you can get cheaper than what they charge online for them.,5,Temu
Please deliver Monday through Friday only shop is closed on weekends,5,Temu
I love Temu,5,Temu
Very misleading thought you win eight prizes. all i had Have to do is purchase two things. nope all lies . just dont waste your money,1,Temu
this is amazing,5,Temu
everything i got from Temu waa great,5,Temu
great really great,5,Temu
I really love the princess and the products,5,Temu
take care some things are not what they seem,3,Temu
Just check well wat u ar buying and u will get d best,5,Temu
Convoluted promotions and misleading. Was promised $100 to PayPal. Was told it would be paid when everything shipped. Still waiting,1,Temu
"OMG!!!!! this radio is AMAZING!!! IT COMES WITH A CHARGING PORT,A BATTERY IN CASE THE LIGHT EVER GOES OUT(that was the reason I bought it). I WOULD DEFINITELY RECOMMEND THIS TO ANYONE!!!!! THE SOUND IS SOOOOO AMAZING!!!!!",5,Temu
its good materyal specialy in shoes..there just lot of discounted,4,Temu
i love temu,5,Temu
so so,5,Temu
"the best offers, best site to buy items. Your items arrive in a timely manner. Temu has the best deals and the best rewards...",5,Temu
Y si cumplen con 🎁,5,Temu
"would like it, but I dont, can't scroll for two seconds without some misleading promotion flashing in my face, a content creator I've been following for a while gave a code since his video was sponsored, and said I could get free items (it wants you to pay almost seventy dollars after forcing you to try and buy stuff for fifty) complete scam, never using this again.",1,Temu
Great for my footwear only a 2.5 and its the only place I can get adult shoes that small including high heels. I have had jumpers jackets pants all sorts love Temu xx,5,Temu
can't always find out the size or quantity,3,Temu
good service.,5,Temu
"you give us 60,000 we will pay you from between",1,Temu
I was satisfied with every product I have ordered and I have ordered a lot but their clothes I have to order two sizes up for what I normally wear but that is no problem🤗🤗🤗,5,Temu
"Great app, great product selection. Always check size before you order. You do get what you pay for. ✌️",5,Temu
"very poor service they lied 😭😭😭 about free tablet,I sign up but dint get any tablet till today mxm this temu sucks",1,Temu
"some stuff is junk, some is ok. Return process is not easy, for me anyway cause I'm dealing with Covid related neurological problems which caused me a horrible experience with Temu. I've removed the app but now I keep getting popup ads. Sorry Temu, you lost me as a customer.",3,Temu
💖🫶🏼,5,Temu
products are good,3,Temu
Good clothes,5,Temu
"A new way to shop for anything you could think of plus much more and at prices that seem too good to be true. I've ordered a few times & expected to get poorly made items or to get items that weren't accurately pictured/ described because of how low the prices were, but every single thing I've purchased from this app has definitely exceeded my expectations by far. Only thing I do not like is how many notifications & emails I receive. Almost feels like harassment.",4,Temu
never allowed to just shop,1,Temu
"Temu Still has a lot of work in order for people to trust them again. Like all these people claiming to sell Sterling Silver and its fake! These Scammers need to go, or Place the true descriptions on the info, either stainless steel, Surgical steel, Brass or Copper! I bought from Temu a supposed to be Sterlin Silver chain and gave it as a gift and it turned black in two days. I was embarrassed! Cause I really believed it was Sterling Silver, its sad how people try to make money off the misery of",4,Temu
temu is the best online market I have ever seen,5,Temu
"I Love the prices and the options here on Temu but, a couple things Really drives me crazy that I WISH TEMU WOULD F-ING STOP!! 1st, Most items on here are hit or miss with quality and delivery time to the point where I find the same items on Amazon and just pay the extra. My order arrives on time Everytime! 2.) PLEASE STOP WITH THOSE SILLY CREDIT/DISCOUNT GAMES WHERE WE HAVE TO SPIN THE WHEEL AND SH%?#! LIKE THAT!! ITS DECEPTIVE, TIME CONSUMING AND ANNOYING!!! JUST GIVE THE 90% DISCOUNT!!!",3,Temu
"Very satisfied, easy to navigate, time from order to delivery is quick, great return / refund policy.",5,Temu
gud thing there,4,Temu
"I'm new to this app, only three orders so far but everything I've ordered I have been extremely pleased with including postage, will definitely be ordering more. thank you Temu",5,Temu
I hooked! And my wardrobe is very reflective of it.....I wear something everyday now that I got on this app....proudly! 🤟🏼😁,5,Temu
stop wasting my time with the tricks and deceit. using words like credit and refund with no intention of honoring any of it.,2,Temu
"Temu illegally spies on its customers by using the mic on their phone (& i had All permissions denied so i didn't unknowingly give em permission to do this!). I Know this is true cause i'm Native & happened to ask a Native woman what tribe she was one day to which she answered ""Chumash"". That is a small, relatively unknown tribe so i realized there's No Way it was coincidence when that Very Same Day, a few hrs later while scrolling thru products on temu, i see an ad for, ""Chumash Pride"" Tshirts!",1,Temu
promotions and offers are misleading in addition it is like playing with costumers to be honest there offers and promotions are cheap way of attracticting costumers. lika a fraodster do,1,Temu
screenshot everything but all and all i can't complain type get100 into the search if it works your welcome,5,Temu
I've been very pleased with my purchases and over the years the shipping time has improved significantly.,5,Temu
Temu sent me ite.s o n never order toom $237.00 out oft acount refused to refund ststed a lot of item were non refundable to return the big heavy items i had to drive 45min to a fed Ex to return .you creid card is not safe with Temu. also sold item thry claimed was the athentic when it was an absoult knock off. They refuse to give you any contact number for fraud department will only let you go thru their tocket team who are incompetent. Deny Fraud to cover temu scams... i have documented proof,1,Temu
I never buy anything here just fool around,2,Temu
lies and more lies just to sell . can't just look . have to add install . once you add them they lie about free a stuff . don't shop here . takes way to long to receive in the mail. just got one said a package is coming from temu . okbig lies.,1,Temu
exellent,5,Temu
No problems...yet. All orders fulfilled. Don't know what the fuss is,5,Temu
"This app keeps appearing on my phone, I don't want, but it appears when I use my phone, very annoying",1,Temu
so far so good no complaints,5,Temu
